title,entryDate,entryText
First Entry,2026-01-05,Started using this journal to track my thoughts and moods.
Busy Day,2026-01-06,Classes and homework took most of the day but I stayed focused.
Quiet Morning,2026-01-07,Woke up early and enjoyed some quiet time before the day started.
New Ideas,2026-01-08,Thought of a few project ideas I want to explore this semester.
Low Energy,2026-01-09,Felt tired most of the day and struggled to stay motivated.
Productive Session,2026-01-10,Finished several tasks earlier than expected.
Exam Stress,2026-01-11,Spent most of the day studying and worrying about exams.
Social Break,2026-01-12,Took a break to hang out with friends and recharge.
Routine Day,2026-01-13,Nothing unusual happened but progress was steady.
Looking Ahead,2026-01-14,Planning goals for the rest of the semester.
